Index,UniProt accession,UniProt name,Status,Protein name,Gene symbol,Species,Identification number
8762,P24588,AKAP5_HUMAN,reviewed,"A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 79 kDa) (AKAP 79) (H21) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein)","AKAP5 AKAP79","Homo sapiens (Human)",5
9207,O00400,ACATN_HUMAN,reviewed,"Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)","SLC33A1 ACATN AT1","Homo sapiens (Human)",5
8743,A2A274,A2A274_HUMAN,unreviewed,"Aconitate hydratase, mitochondrial",ACO2,"Homo sapiens (Human)",5
8893,P26436,ASPX_HUMAN,reviewed,"Acrosomal protein SP-10 (Acrosomal vesicle protein 1)",ACRV1,"Homo sapiens (Human)",5
8654,D2JYH4,D2JYH4_HUMAN,unreviewed,"Actin, alpha 2, smooth muscle, aorta (Actin, alpha 2, smooth muscle, aorta, isoform CRA_a)","ACTA2 hCG_22984","Homo sapiens (Human)",5
8496,E9PF41,ARP2_HUMAN,reviewed,"Actin-related protein 2 (Actin-like protein 2)","ACTR2 ARP2","Homo sapiens (Human)",5
8609,C9IZN3,C9IZN3_HUMAN,unreviewed,"Actin-related protein 3C (Fragment)",ACTR3C,"Homo sapiens (Human)",5
8698,Q07912,ACK1_HUMAN,reviewed,"Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)","TNK2 ACK1","Homo sapiens (Human)",5
8708,Q5VWT5,ARAP_HUMAN,reviewed,"Activation-dependent, raft-recruited ADAP-like phosphoprotein","ARAP C1orf168","Homo sapiens (Human)",5
8972,Q4L235,ACSF4_HUMAN,reviewed,"Acyl-CoA synthetase family member 4 (EC 6.2.1.-) (Aminoadipate-semialdehyde dehydrogenase) (Protein NRPS998)","AASDH ACSF4 U26 HSPC318","Homo sapiens (Human)",5
8915,Q8N6N7,ACBD7_HUMAN,reviewed,"Acyl-CoA-binding domain-containing protein 7",ACBD7,"Homo sapiens (Human)",5
9009,Q92604,LGAT1_HUMAN,reviewed,"Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 (EC 2.3.1.-)","LPGAT1 FAM34A KIAA0205","Homo sapiens (Human)",5
8515,Q8WXI4,ACO11_HUMAN,reviewed,"Acyl-coenzyme A thioesterase 11 (Acyl-CoA thioesterase 11) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 11) (Adipose-associated thioesterase) (Brown fat-inducible thioesterase) (BFIT)","ACOT11 BFIT KIAA0707 THEA","Homo sapiens (Human)",5
9276,C9JLK2,C9JLK2_HUMAN,unreviewed,"Acylamino-acid-releasing enzyme (Fragment)",APEH,"Homo sapiens (Human)",5
9093,Q8NC96,NECP1_HUMAN,reviewed,"Adaptin ear-binding coat-associated protein 1 (NECAP endocytosis-associated protein 1) (NECAP-1)",NECAP1,"Homo sapiens (Human)",5
8531,Q9NZK5,CECR1_HUMAN,reviewed,"Adenosine deaminase CECR1 (EC 3.5.4.4) (Cat eye syndrome critical region protein 1)","CECR1 ADA2 ADGF IDGFL","Homo sapiens (Human)",5
8504,Q08828,ADCY1_HUMAN,reviewed,"Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (Ca(2+)/calmodulin-activated adenylyl cyclase)",ADCY1,"Homo sapiens (Human)",5
8508,Q6FGX9,Q6FGX9_HUMAN,unreviewed,"Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)","AK1 HTL-S-58j hCG_2039407","Homo sapiens (Human)",5
8596,B4DP46,B4DP46_HUMAN,unreviewed,"Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)",0,"Homo sapiens (Human)",5
9147,Q96PE1,AGRA2_HUMAN,reviewed,"Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5)","ADGRA2 GPR124 KIAA1531 TEM5","Homo sapiens (Human)",5
8718,Q8IZF2,AGRF5_HUMAN,reviewed,"Adhesion G protein-coupled receptor F5 (G-protein coupled receptor 116)","ADGRF5 GPR116 KIAA0758","Homo sapiens (Human)",5
8938,Q96A54,ADR1_HUMAN,reviewed,"Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member I)","ADIPOR1 PAQR1 TESBP1A CGI-45","Homo sapiens (Human)",5
8540,Q1XII0,BST1_HUMAN,reviewed,"ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (EC 3.2.2.6) (ADP-ribosyl cyclase 2) (Bone marrow stromal antigen 1) (BST-1) (Cyclic ADP-ribose hydrolase 2) (cADPr hydrolase 2) (CD antigen CD157)",BST1,"Homo sapiens (Human)",5
8627,Q5U025,Q5U025_HUMAN,unreviewed,"ADP-ribosylation factor 6",0,"Homo sapiens (Human)",5
8563,Q9H0C2,ADT4_HUMAN,reviewed,"ADP/ATP translocase 4 (ADP,ATP carrier protein 4) (Adenine nucleotide translocator 4) (ANT 4) (Solute carrier family 25 member 31) (Sperm flagellar energy carrier protein)","SLC25A31 AAC4 ANT4 SFEC","Homo sapiens (Human)",5
9198,Q9H8T0,AKTIP_HUMAN,reviewed,"AKT-interacting protein (Ft1) (Fused toes protein homolog)","AKTIP FTS","Homo sapiens (Human)",5
9064,F5H4B6,F5H4B6_HUMAN,unreviewed,"Aldehyde dehydrogenase family 16 member A1",ALDH16A1,"Homo sapiens (Human)",5
8462,P17516,AK1C4_HUMAN,reviewed,"Aldo-keto reductase family 1 member C4 (EC 1.1.1.-) (3-alpha-HSD1) (3-alpha-hydroxysteroid dehydrogenase type I) (EC 1.1.1.357) (Chlordecone reductase) (CDR) (EC 1.1.1.225) (Dihydrodiol dehydrogenase 4) (DD-4) (DD4) (HAKRA)","AKR1C4 CHDR","Homo sapiens (Human)",5
9175,R4GMT0,R4GMT0_HUMAN,unreviewed,Alpha-centractin,ACTR1A,"Homo sapiens (Human)",5
9290,K7EM90,K7EM90_HUMAN,unreviewed,"Alpha-enolase (Fragment)",ENO1,"Homo sapiens (Human)",5
9054,J3KMX3,J3KMX3_HUMAN,unreviewed,Alpha-fetoprotein,AFP,"Homo sapiens (Human)",5
8763,Q9UHK6,AMACR_HUMAN,reviewed,"Alpha-methylacyl-CoA racemase (EC 5.1.99.4) (2-methylacyl-CoA racemase)",AMACR,"Homo sapiens (Human)",5
8983,A6QL63,BTBDB_HUMAN,reviewed,"Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 (BTB/POZ domain-containing protein 11)",BTBD11,"Homo sapiens (Human)",5
8510,Q6UB99,ANR11_HUMAN,reviewed,"Ankyrin repeat domain-containing protein 11 (Ankyrin repeat-containing cofactor 1)","ANKRD11 ANCO1","Homo sapiens (Human)",5
8652,Q5JPF3,AN36C_HUMAN,reviewed,"Ankyrin repeat domain-containing protein 36C (Protein immuno-reactive with anti-PTH polyclonal antibodies)",ANKRD36C,"Homo sapiens (Human)",5
9309,E9PHT9,E9PHT9_HUMAN,unreviewed,Annexin,ANXA5,"Homo sapiens (Human)",5
8537,Q59FK3,Q59FK3_HUMAN,unreviewed,"Annexin (Fragment)",0,"Homo sapiens (Human)",5
9250,H0YL33,H0YL33_HUMAN,unreviewed,"Annexin (Fragment)",ANXA2,"Homo sapiens (Human)",5
9297,D6RCA8,D6RCA8_HUMAN,unreviewed,"Annexin (Fragment)",ANXA3,"Homo sapiens (Human)",5
8641,A2KBC0,A2KBC0_HUMAN,unreviewed,"Anti-(ED-B) scFV (Fragment)",0,"Homo sapiens (Human)",5
9075,H7C1E4,H7C1E4_HUMAN,unreviewed,"AP-1 complex subunit sigma-1A (Fragment)",AP1S1,"Homo sapiens (Human)",5
8948,Q9Y587,AP4S1_HUMAN,reviewed,"AP-4 complex subunit sigma-1 (AP-4 adaptor complex subunit sigma-1) (Adaptor-related protein complex 4 subunit sigma-1) (Sigma-1 subunit of AP-4) (Sigma-4-adaptin) (Sigma4-adaptin)",AP4S1,"Homo sapiens (Human)",5
8947,P20292,AL5AP_HUMAN,reviewed,"Arachidonate 5-lipoxygenase-activating protein (FLAP) (MK-886-binding protein)","ALOX5AP FLAP","Homo sapiens (Human)",5
8486,Q99490,AGAP2_HUMAN,reviewed,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 (AGAP-2) (Centaurin-gamma-1) (Cnt-g1) (GTP-binding and GTPase-activating protein 2) (GGAP2) (Phosphatidylinositol 3-kinase enhancer) (PIKE)","AGAP2 CENTG1 KIAA0167","Homo sapiens (Human)",5
9019,P78540,ARGI2_HUMAN,reviewed,"Arginase-2, mitochondrial (EC 3.5.3.1) (Kidney-type arginase) (Non-hepatic arginase) (Type II arginase)",ARG2,"Homo sapiens (Human)",5
8566,Q5T371,Q5T371_HUMAN,unreviewed,"Arrestin domain-containing protein 1 (Fragment)",ARRDC1,"Homo sapiens (Human)",5
8502,P51690,ARSE_HUMAN,reviewed,"Arylsulfatase E (ASE) (EC 3.1.6.-)",ARSE,"Homo sapiens (Human)",5
9245,P07306,ASGR1_HUMAN,reviewed,"Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (C-type lectin domain family 4 member H1) (Hepatic lectin H1) (HL-1)","ASGR1 CLEC4H1","Homo sapiens (Human)",5
8932,P54252,ATX3_HUMAN,reviewed,"Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein)","ATXN3 ATX3 MJD MJD1 SCA3","Homo sapiens (Human)",5
9267,Q6SPF0,SAMD1_HUMAN,reviewed,"Atherin (Sterile alpha motif domain-containing protein 1) (SAM domain-containing protein 1)",SAMD1,"Homo sapiens (Human)",5
9030,Q8WWZ4,ABCAA_HUMAN,reviewed,"ATP-binding cassette sub-family A member 10",ABCA10,"Homo sapiens (Human)",5
8894,Q9BZC7,ABCA2_HUMAN,reviewed,"ATP-binding cassette sub-family A member 2 (ATP-binding cassette transporter 2) (ATP-binding cassette 2)","ABCA2 ABC2 KIAA1062","Homo sapiens (Human)",5
9211,P45844,ABCG1_HUMAN,reviewed,"ATP-binding cassette sub-family G member 1 (ATP-binding cassette transporter 8) (White protein homolog)","ABCG1 ABC8 WHT1","Homo sapiens (Human)",5
9084,G3V529,G3V529_HUMAN,unreviewed,"ATP-dependent RNA helicase DDX24",DDX24,"Homo sapiens (Human)",5
9219,Q9UHL0,DDX25_HUMAN,reviewed,"ATP-dependent RNA helicase DDX25 (EC 3.6.4.13) (DEAD box protein 25) (Gonadotropin-regulated testicular RNA helicase)","DDX25 GRTH","Homo sapiens (Human)",5
9261,Q8NHQ9,DDX55_HUMAN,reviewed,"ATP-dependent RNA helicase DDX55 (EC 3.6.4.13) (DEAD box protein 55)","DDX55 KIAA1595","Homo sapiens (Human)",5
9140,Q8IYB8,SUV3_HUMAN,reviewed,"ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)","SUPV3L1 SUV3","Homo sapiens (Human)",5
9208,Q96TA2,YMEL1_HUMAN,reviewed,"ATP-dependent zinc metalloprotease YME1L1 (EC 3.4.24.-) (ATP-dependent metalloprotease FtsH1) (Meg-4) (Presenilin-associated metalloprotease) (PAMP) (YME1-like protein 1)","YME1L1 FTSH1 YME1L UNQ1868/PRO4304","Homo sapiens (Human)",5
8697,P48048,KCNJ1_HUMAN,reviewed,"ATP-sensitive inward rectifier potassium channel 1 (ATP-regulated potassium channel ROM-K) (Inward rectifier K(+) channel Kir1.1) (Potassium channel, inwardly rectifying subfamily J member 1)","KCNJ1 ROMK1","Homo sapiens (Human)",5
8891,Q9ULI0,ATD2B_HUMAN,reviewed,"ATPase family AAA domain-containing protein 2B","ATAD2B KIAA1240","Homo sapiens (Human)",5
8842,Q96S55,WRIP1_HUMAN,reviewed,"ATPase WRNIP1 (EC 3.6.1.3) (Werner helicase-interacting protein 1)","WRNIP1 WHIP","Homo sapiens (Human)",5
8912,Q5T1B0,AXDN1_HUMAN,reviewed,"Axonemal dynein light chain domain-containing protein 1","AXDND1 C1orf125","Homo sapiens (Human)",5
9222,Q9UHQ4,BAP29_HUMAN,reviewed,"B-cell receptor-associated protein 29 (BCR-associated protein 29) (Bap29)","BCAP29 BAP29","Homo sapiens (Human)",5
8577,P30411,BKRB2_HUMAN,reviewed,"B2 bradykinin receptor (B2R) (BK-2 receptor)","BDKRB2 BKR2","Homo sapiens (Human)",5
8909,Q86XA6,Q86XA6_HUMAN,unreviewed,"B4GALT1 protein (Beta-1,4-galactosyltransferase 1)",B4GALT1,"Homo sapiens (Human)",5
9006,Q13075,BIRC1_HUMAN,reviewed,"Baculoviral IAP repeat-containing protein 1 (Neuronal apoptosis inhibitory protein)","NAIP BIRC1","Homo sapiens (Human)",5
9107,O95429,BAG4_HUMAN,reviewed,"BAG family molecular chaperone regulator 4 (BAG-4) (Bcl-2-associated athanogene 4) (Silencer of death domains)","BAG4 SODD","Homo sapiens (Human)",5
8892,P07550,ADRB2_HUMAN,reviewed,"Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)","ADRB2 ADRB2R B2AR","Homo sapiens (Human)",5
8855,C8C504,C8C504_HUMAN,unreviewed,Beta-globin,HBB,"Homo sapiens (Human)",5
8653,B2M1S7,B2M1S7_HUMAN,unreviewed,"Beta-globin Showa Yakushiji variant (Fragment)",HBB,"Homo sapiens (Human)",5
8910,Q5URX0,Q5URX0_HUMAN,unreviewed,"Beta-hexosaminidase subunit beta (ENC-1AS) (Epididymis luminal protein 248) (Epididymis secretory protein Li 111)","HEL-248 HEL-S-111 HEXB","Homo sapiens (Human)",5
9314,F8WEF0,F8WEF0_HUMAN,unreviewed,"Bifunctional purine biosynthesis protein PURH",ATIC,"Homo sapiens (Human)",5
9232,P50747,BPL1_HUMAN,reviewed,"Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]",HLCS,"Homo sapiens (Human)",5
8638,Q9NXW1,Q9NXW1_HUMAN,unreviewed,"BJ-HCC-24 tumor antigen (cDNA FLJ20030 fis, clone ADSU02156)",0,"Homo sapiens (Human)",5
9111,Q969J3,BORC5_HUMAN,reviewed,"BLOC-1-related complex subunit 5 (Loss of heterozygosity 12 chromosomal region 1) (Myristoylated lysosomal protein) (Myrlysin)","BORCS5 LOH12CR1","Homo sapiens (Human)",5
8639,Q9NZE6,Q9NZE6_HUMAN,unreviewed,"BM-010 (Eukaryotic translation initiation factor 4A, isoform 2, isoform CRA_b)","EIF4A2 hCG_1784041","Homo sapiens (Human)",5
8886,Q9NSY1,BMP2K_HUMAN,reviewed,"BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)","BMP2K BIKE HRIHFB2017","Homo sapiens (Human)",5
8456,Q13876,Q13876_HUMAN,unreviewed,"Bone-derived growth factor (Fragment)",BPGF-1,"Homo sapiens (Human)",5
9287,I3L2J6,I3L2J6_HUMAN,unreviewed,"Brain-specific angiogenesis inhibitor 1-associated protein 2",BAIAP2,"Homo sapiens (Human)",5
9305,I3L4A3,I3L4A3_HUMAN,unreviewed,"Brain-specific angiogenesis inhibitor 1-associated protein 2 (Fragment)",BAIAP2,"Homo sapiens (Human)",5
9145,P25440,BRD2_HUMAN,reviewed,"Bromodomain-containing protein 2 (O27.1.1) (Really interesting new gene 3 protein)","BRD2 KIAA9001 RING3","Homo sapiens (Human)",5
9259,Q9NPI1,BRD7_HUMAN,reviewed,"Bromodomain-containing protein 7 (75 kDa bromodomain protein) (Protein CELTIX-1)","BRD7 BP75 CELTIX1","Homo sapiens (Human)",5
8994,Q9H8M2,BRD9_HUMAN,reviewed,"Bromodomain-containing protein 9 (Rhabdomyosarcoma antigen MU-RMS-40.8)","BRD9 UNQ3040/PRO9856","Homo sapiens (Human)",5
8660,P80162,CXCL6_HUMAN,reviewed,"C-X-C motif chemokine 6 (Chemokine alpha 3) (CKA-3) (Granulocyte chemotactic protein 2) (GCP-2) (Small-inducible cytokine B6) [Cleaved into: Small-inducible cytokine B6, N-processed variant 1; Small-inducible cytokine B6, N-processed variant 2; Small-inducible cytokine B6, N-processed variant 3]","CXCL6 GCP2 SCYB6","Homo sapiens (Human)",5
9126,O75973,C1QRF_HUMAN,reviewed,"C1q-related factor (C1q and tumor necrosis factor-related protein 14) (C1q/TNF-related protein 14) (Complement component 1 Q subcomponent-like 1)","C1QL1 C1QRF CRF CTRP14","Homo sapiens (Human)",5
8731,Q9H159,CAD19_HUMAN,reviewed,Cadherin-19,"CDH19 CDH7L2 UNQ478/PRO941","Homo sapiens (Human)",5
8558,P55283,CADH4_HUMAN,reviewed,"Cadherin-4 (Retinal cadherin) (R-CAD) (R-cadherin)",CDH4,"Homo sapiens (Human)",5
8823,Q12791,KCMA1_HUMAN,reviewed,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (hSlo)","KCNMA1 KCNMA SLO","Homo sapiens (Human)",5
8904,Q9NZU7,CABP1_HUMAN,reviewed,"Calcium-binding protein 1 (CaBP1) (Calbrain) (Caldendrin)",CABP1,"Homo sapiens (Human)",5
8594,B4DJ51,B4DJ51_HUMAN,unreviewed,"Calmodulin 1 (Phosphorylase kinase, delta), isoform CRA_a (Calmodulin 3 (Phosphorylase kinase, delta), isoform CRA_b) (Epididymis secretory protein Li 72) (cDNA FLJ61744, highly similar to Calmodulin)","CALM1 CALM3 HEL-S-72 hCG_20313 hCG_21749","Homo sapiens (Human)",5
9248,G3V226,G3V226_HUMAN,unreviewed,Calmodulin-1,CALM1,"Homo sapiens (Human)",5
9106,Q9P1Y5,CAMP3_HUMAN,reviewed,"Calmodulin-regulated spectrin-associated protein 3 (Protein Nezha)","CAMSAP3 KIAA1543","Homo sapiens (Human)",5
9169,U3KQE2,U3KQE2_HUMAN,unreviewed,"Calpain small subunit 1 (Fragment)",CAPNS1,"Homo sapiens (Human)",5
8449,P31321,KAP1_HUMAN,reviewed,"cAMP-dependent protein kinase type I-beta regulatory subunit",PRKAR1B,"Homo sapiens (Human)",5
8447,Q6FHI7,CAH4_HUMAN,reviewed,"Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV)",CA4,"Homo sapiens (Human)",5
9137,O75493,CAH11_HUMAN,reviewed,"Carbonic anhydrase-related protein 11 (CA-RP XI) (CA-XI) (CARP XI) (Carbonic anhydrase-related protein 2) (CA-RP II) (CARP-2)","CA11 CARP2 UNQ211/PRO237","Homo sapiens (Human)",5
9272,M0R2K4,M0R2K4_HUMAN,unreviewed,"Carcinoembryonic antigen-related cell adhesion molecule 1 (Fragment)",CEACAM1,"Homo sapiens (Human)",5
9167,C9JP16,C9JP16_HUMAN,unreviewed,"Cartilage-associated protein",CRTAP,"Homo sapiens (Human)",5
8933,Q9H257,CARD9_HUMAN,reviewed,"Caspase recruitment domain-containing protein 9 (hCARD9)",CARD9,"Homo sapiens (Human)",5
8601,B4DWK8,B4DWK8_HUMAN,unreviewed,"Catalase (EC 1.11.1.6)",0,"Homo sapiens (Human)",5
9010,Q9UQB3,CTND2_HUMAN,reviewed,"Catenin delta-2 (Delta-catenin) (GT24) (Neural plakophilin-related ARM-repeat protein) (NPRAP) (Neurojungin)","CTNND2 NPRAP","Homo sapiens (Human)",5
8526,Q6LAF9,Q6LAF9_HUMAN,unreviewed,"Cathepsin B (Fragment)",0,"Homo sapiens (Human)",5
9165,R4GMQ5,R4GMQ5_HUMAN,unreviewed,"Cathepsin B (Fragment)",CTSB,"Homo sapiens (Human)",5
9251,P56539,CAV3_HUMAN,reviewed,"Caveolin-3 (M-caveolin)",CAV3,"Homo sapiens (Human)",5
8555,P17676,CEBPB_HUMAN,reviewed,"CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5)","CEBPB TCF5 PP9092","Homo sapiens (Human)",5
9202,H0YD13,H0YD13_HUMAN,unreviewed,"CD44 antigen",CD44,"Homo sapiens (Human)",5
8778,B3KM47,B3KM47_HUMAN,unreviewed,"cDNA FLJ10273 fis, clone HEMBB1001137, highly similar to SEC23-interacting protein",0,"Homo sapiens (Human)",5
8474,Q9NUV1,Q9NUV1_HUMAN,unreviewed,"cDNA FLJ11121 fis, clone PLACE1006139",0,"Homo sapiens (Human)",5
8575,Q8NB89,Q8NB89_HUMAN,unreviewed,"cDNA FLJ34068 fis, clone FCBBF3001918, highly similar to SERINE/THREONINE PROTEIN PHOSPHATASE 2A, 65 kDa REGULATORY SUBUNIT A, ALPHA ISOFORM",0,"Homo sapiens (Human)",5
8588,B3KU66,B3KU66_HUMAN,unreviewed,"cDNA FLJ39263 fis, clone OCBBF2009571, highly similar to ATP-dependent RNA helicase A (EC 3.6.1.-)",0,"Homo sapiens (Human)",5
8908,Q8N1H4,Q8N1H4_HUMAN,unreviewed,"cDNA FLJ40872 fis, clone TUTER2000283, highly similar to Homo sapiens transformer-2-beta (SFRS10) gene",0,"Homo sapiens (Human)",5
8676,Q6ZW64,Q6ZW64_HUMAN,unreviewed,"cDNA FLJ41552 fis, clone COLON2004478, highly similar to Protein Tro alpha1 H,myeloma",0,"Homo sapiens (Human)",5
8589,B3KW63,B3KW63_HUMAN,unreviewed,"cDNA FLJ42295 fis, clone TLIVE2008213, highly similar to DnaJ homolog subfamily B member 11 (cDNA FLJ56253, highly similar to DnaJ homolog subfamily B member 11)",0,"Homo sapiens (Human)",5
8452,B3KW67,B3KW67_HUMAN,unreviewed,"cDNA FLJ42347 fis, clone UTERU2003399, highly similar to Actin, gamma-enteric smooth muscle",0,"Homo sapiens (Human)",5
8444,B3KX51,B3KX51_HUMAN,unreviewed,"cDNA FLJ44754 fis, clone BRACE3030748, highly similar to Guanine nucleotide-binding protein G(i), alpha-2 subunit",0,"Homo sapiens (Human)",5
8590,B3KX96,B3KX96_HUMAN,unreviewed,"cDNA FLJ45003 fis, clone BRAWH3011623, highly similar to Heterogeneous nuclear ribonucleoproteins C",0,"Homo sapiens (Human)",5
8779,B4DGD0,B4DGD0_HUMAN,unreviewed,"cDNA FLJ50491, highly similar to Amyloid beta A4 protein (APP) (ABPP)(Alzheimer disease amyloid protein) (Cerebral vascularamyloid peptide) (CVAP) (Protease nexin-II) (PN-II)(APPI) (PreA4)",0,"Homo sapiens (Human)",5
8607,B7Z4W4,B7Z4W4_HUMAN,unreviewed,"cDNA FLJ50817, highly similar to UV excision repair protein RAD23 homolog B",0,"Homo sapiens (Human)",5
8608,B7Z581,B7Z581_HUMAN,unreviewed,"cDNA FLJ50831, highly similar to Guanine nucleotide-binding protein G(q) subunit alpha",0,"Homo sapiens (Human)",5
8599,B4DUV3,B4DUV3_HUMAN,unreviewed,"cDNA FLJ52166, highly similar to 60S ribosomal protein L18a",0,"Homo sapiens (Human)",5
8598,B4DSR6,B4DSR6_HUMAN,unreviewed,"cDNA FLJ52684, highly similar to Dynein heavy chain, cytosolic",0,"Homo sapiens (Human)",5
8687,B4DFM1,B4DFM1_HUMAN,unreviewed,"cDNA FLJ53034, highly similar to AP-2 complex subunit mu-1",0,"Homo sapiens (Human)",5
8813,B4DPP8,B4DPP8_HUMAN,unreviewed,"cDNA FLJ53075, highly similar to Kininogen-1",0,"Homo sapiens (Human)",5
8595,B4DNT6,B4DNT6_HUMAN,unreviewed,"cDNA FLJ53631, highly similar to Intercellular adhesion molecule 1",0,"Homo sapiens (Human)",5
9080,B4DG42,B4DG42_HUMAN,unreviewed,"cDNA FLJ53753, highly similar to Myeloid-associated differentiation marker",0,"Homo sapiens (Human)",5
8998,B4DTC3,B4DTC3_HUMAN,unreviewed,"cDNA FLJ54150, highly similar to Heterogeneous nuclear ribonucleoprotein D0",0,"Homo sapiens (Human)",5
8593,B4DGR3,B4DGR3_HUMAN,unreviewed,"cDNA FLJ54349, highly similar to Vesicle-fusing ATPase (EC 3.6.4.6)",0,"Homo sapiens (Human)",5
8604,B4E3J5,B4E3J5_HUMAN,unreviewed,"cDNA FLJ55445, highly similar to Wiskott-Aldrich syndrome protein family member 2",0,"Homo sapiens (Human)",5
8602,B4E0S6,B4E0S6_HUMAN,unreviewed,"cDNA FLJ55635, highly similar to pre-mRNA-splicing factorATP-dependent RNA helicase DHX15 (EC 3.6.1.-)",0,"Homo sapiens (Human)",5
8780,B4DJW8,B4DJW8_HUMAN,unreviewed,"cDNA FLJ55697, highly similar to Protein transport protein Sec23B",0,"Homo sapiens (Human)",5
8688,B4E2S3,B4E2S3_HUMAN,unreviewed,"cDNA FLJ56561",0,"Homo sapiens (Human)",5
8592,B4DFL3,B4DFL3_HUMAN,unreviewed,"cDNA FLJ56661, highly similar to Proteasome subunit beta type 4 (EC 3.4.25.1)",0,"Homo sapiens (Human)",5
8591,B4DFI6,B4DFI6_HUMAN,unreviewed,"cDNA FLJ56689, highly similar to 60S ribosomal protein L4",0,"Homo sapiens (Human)",5
8597,B4DS79,B4DS79_HUMAN,unreviewed,"cDNA FLJ56828, highly similar to Adapter-relatedprotein complex 1 beta-1 subunit",0,"Homo sapiens (Human)",5
8453,B4DTV0,B4DTV0_HUMAN,unreviewed,"cDNA FLJ57801, highly similar to Homo sapiens AHNAK nucleoprotein (desmoyokin) (AHNAK), transcript variant 1, mRNA (Fragment)",0,"Homo sapiens (Human)",5
9066,B4DI61,B4DI61_HUMAN,unreviewed,"cDNA FLJ58182, highly similar to Protein CYR61",0,"Homo sapiens (Human)",5
9188,B4DLC0,B4DLC0_HUMAN,unreviewed,"cDNA FLJ58476, highly similar to Poly(rC)-binding protein 2",0,"Homo sapiens (Human)",5
9003,B4E3Q1,B4E3Q1_HUMAN,unreviewed,"cDNA FLJ61580, highly similar to Calsyntenin-1",0,"Homo sapiens (Human)",5
8997,A8K7N0,A8K7N0_HUMAN,unreviewed,"cDNA FLJ75556, highly similar to Homo sapiens ribosomal protein L14, mRNA",0,"Homo sapiens (Human)",5
8736,A8KA19,A8KA19_HUMAN,unreviewed,"cDNA FLJ75831, highly similar to Homo sapiens exportin, tRNA (nuclear export receptor for tRNAs) (XPOT), mRNA",0,"Homo sapiens (Human)",5
8685,A8K4T6,A8K4T6_HUMAN,unreviewed,"cDNA FLJ76282, highly similar to Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase, 5 (PSMD5), mRNA",0,"Homo sapiens (Human)",5
8461,A8K0J3,A8K0J3_HUMAN,unreviewed,"cDNA FLJ76732, highly similar to Homo sapiens TAO kinase 3 (TAOK3), mRNA",0,"Homo sapiens (Human)",5
8488,A8K4W5,A8K4W5_HUMAN,unreviewed,"cDNA FLJ76813, highly similar to Homo sapiens acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase), mRNA",0,"Homo sapiens (Human)",5
